>python -u "runit.py"
./timeucds/ucds0
1463.354004, 1518.157227, 1824.260132, 1469.059204, 1460.306885, 1591.010742, 341.857635, 11.712252, 6.279845, 5.868905, 6.297437; 162.937500 - 540.706909 - 168.524078 - 485.771484 - 162.970032 - 529.668945 - 261.451447 - 615.303772 - 280.719727 - 670.546265 - 333.392670 - 709.288330 - 332.255707 - 703.707703 - 330.631287 - 704.398682 - 351.371155 - 726.440186 - 384.689697 - 731.993835 - 262144
1446.368774, 1569.845337, 1850.486572, 1465.897705, 1409.828247, 1584.822632, 367.929993, 13.044764, 6.635219, 6.076903, 6.542041; 170.092712 - 539.342407 - 172.343048 - 542.752441 - 175.907410 - 540.513733 - 301.849274 - 599.408875 - 307.887909 - 674.570557 - 337.265228 - 707.183838 - 354.266479 - 709.674561 - 345.108887 - 710.366333 - 389.310852 - 691.287598 - 394.914001 - 749.379395 - 524288
1398.064331, 1566.345215, 1800.506226, 1437.483276, 1436.424805, 1539.040283, 367.458801, 11.817047, 6.419525, 5.986235, 6.376577; 204.191940 - 536.685547 - 205.101089 - 538.828918 - 208.888214 - 517.853882 - 298.018158 - 512.015869 - 345.182098 - 665.276367 - 382.037323 - 708.727051 - 373.787323 - 705.114197 - 346.085876 - 708.018188 - 390.219635 - 729.127930 - 411.251495 - 746.437439 - 1048576
1400.851318, 1565.223999, 1615.023804, 1407.725952, 1411.378784, 1555.067993, 365.575958, 11.519598, 6.625905, 6.075417, 6.649162; 206.018829 - 536.256958 - 205.750488 - 534.362488 - 209.886871 - 530.748047 - 308.738159 - 584.373474 - 322.224701 - 657.837952 - 362.486786 - 694.061279 - 353.452637 - 696.996094 - 372.530884 - 673.625488 - 404.706207 - 717.792542 - 412.988983 - 726.539734 - 2097152
121.290634, 1565.772705, 1520.668213, 1420.864380, 1424.740601, 1575.417725, 303.935059, 11.871449, 6.554499, 6.028723, 6.616296; 48.584560 - 65.365120 - 125.449776 - 74.789536 - 136.049057 - 66.051414 - 34.025215 - 54.433216 - 41.315025 - 64.638702 - 198.999039 - 55.572651 - 119.199486 - 67.523949 - 106.497772 - 70.202675 - 397.252991 - 701.094421 - 410.822968 - 137.405975 - 4194304
./timeucds/urucds0
412.699371, 422.794891, 386.863098, 385.226715, 383.652161, 421.963531, 97.431915, 429.297241, 78.308731, 35.234905, 80.442436; 244.621292 - 245.591125 - 244.428894 - 245.920822 - 246.308090 - 245.836868 - 257.975677 - 258.288727 - 262.825348 - 264.607971 - 265.144135 - 269.516022 - 268.646454 - 268.275299 - 267.587921 - 268.552704 - 271.163147 - 267.572418 - 272.760590 - 267.297546 - 16384
427.473480, 422.392975, 388.242767, 382.979797, 381.688324, 423.101990, 96.280739, 433.085968, 78.057854, 34.893021, 79.645569; 245.585602 - 236.020706 - 235.479019 - 230.757019 - 237.036850 - 235.060364 - 252.376617 - 252.053375 - 261.121521 - 260.267548 - 266.420563 - 266.805298 - 267.114319 - 265.418213 - 262.397095 - 263.243347 - 266.200226 - 267.648712 - 273.757324 - 270.895599 - 32768
426.425140, 408.479736, 376.774902, 382.563507, 382.416626, 422.918091, 97.600410, 433.241150, 78.023872, 35.235687, 80.469414; 236.661987 - 234.220062 - 234.995865 - 236.541946 - 236.103470 - 235.483734 - 246.778061 - 245.750534 - 254.582565 - 258.713043 - 268.288177 - 266.459045 - 267.272400 - 266.849854 - 264.225281 - 260.154449 - 270.105682 - 269.481842 - 272.006378 - 273.274872 - 65536
423.788513, 422.530762, 388.347565, 381.447510, 383.864532, 423.011108, 96.553200, 434.143494, 78.041069, 35.245922, 79.792511; 235.688599 - 236.170639 - 235.707687 - 235.910233 - 235.596390 - 236.138535 - 252.002289 - 252.080582 - 262.426575 - 261.394714 - 267.658203 - 268.232330 - 266.442139 - 267.863861 - 267.254028 - 267.661285 - 270.833893 - 271.116730 - 274.287720 - 272.545532 - 131072
426.617798, 422.880585, 384.239899, 382.161713, 382.536407, 422.924164, 97.395065, 432.685822, 78.047760, 35.119301, 80.005653; 236.168091 - 235.719574 - 232.871262 - 234.685638 - 235.430984 - 236.012009 - 251.771927 - 250.744675 - 261.025330 - 260.817230 - 266.384216 - 266.252106 - 266.327271 - 264.187653 - 267.013702 - 267.287720 - 271.024414 - 261.821320 - 271.663116 - 272.280457 - 262144
414.777191, 419.841187, 386.617371, 376.727478, 380.857910, 418.827484, 97.570854, 422.449036, 77.433517, 34.874073, 80.442245; 234.642227 - 233.922562 - 234.897629 - 234.762817 - 234.513550 - 234.459686 - 250.160721 - 250.337112 - 259.802765 - 259.768463 - 266.639496 - 266.041901 - 266.472107 - 266.241699 - 266.111694 - 266.788940 - 270.648529 - 268.685181 - 269.717072 - 271.342377 - 524288
